1615507200000,57773.15000000,58081.51000000,57453.00000000,57739.91000000,1069.08830500,1615508099999,61781663.28742793,34441,505.14353600,29195934.14667709,0
1615508100000,57739.91000000,57886.91000000,57000.00000000,57048.73000000,1205.46590200,1615508999999,69125066.66035473,38144,517.82612900,29697049.80110464,0
1615509000000,57059.99000000,57310.47000000,56777.77000000,56965.00000000,1012.35413400,1615509899999,57701577.75664348,32791,426.31784000,24303590.27843580,0
1615509900000,56965.00000000,57522.64000000,56925.99000000,57362.04000000,731.43107700,1615510799999,41899848.65502515,29349,368.79290500,21123531.03336412,0
1615510800000,57362.05000000,57640.34000000,57180.76000000,57563.60000000,593.66609900,1615511699999,34097686.57136695,29889,299.00616300,17176740.99351181,0
1615511700000,57563.61000000,57583.84000000,57180.00000000,57385.91000000,560.85984400,1615512599999,32170782.42383222,26326,283.44642800,16258029.37569956,0
1615512600000,57385.90000000,57470.63000000,56840.83000000,56927.43000000,774.18141400,1615513499999,44198137.09201319,29027,342.21194900,19534716.84198617,0
1615513500000,56927.90000000,57175.82000000,56624.00000000,56902.80000000,678.50696200,1615514399999,38612795.60275767,28940,315.86136800,17977598.87348891,0
1615514400000,56902.80000000,57066.61000000,56700.00000000,56764.03000000,457.76348400,1615515299999,26042291.61242349,19235,218.32743900,12422219.48299251,0
1615515300000,56764.03000000,56953.58000000,56707.12000000,56832.70000000,423.22303600,1615516199999,24054597.53317835,17590,189.27127800,10757529.35595624,0
1615516200000,56832.71000000,57038.16000000,56756.00000000,56912.94000000,386.46726600,1615517099999,22010158.91129897,17004,194.29255600,11065343.97713426,0
1615517100000,56912.95000000,57120.67000000,56800.00000000,56972.08000000,397.17491300,1615517999999,22639325.73006614,16968,192.92815100,10997941.99951725,0
1615518000000,56972.08000000,57095.49000000,56880.00000000,56905.19000000,371.39213900,1615518899999,21173329.67997096,12426,167.99678800,9578386.59016439,0
1615518900000,56905.18000000,57162.67000000,56800.00000000,57088.00000000,404.72257100,1615519799999,23062336.03212047,13054,201.66213100,11494415.58095523,0
1615519800000,57088.00000000,57294.47000000,56971.49000000,57010.38000000,407.47442500,1615520699999,23284324.48365609,13395,200.05137200,11433721.97152940,0
1615520700000,57010.38000000,57116.65000000,56870.00000000,57104.17000000,376.34446200,1615521599999,21441270.08702081,11098,191.43186900,10907065.30562863,0
1615521600000,57107.14000000,57238.70000000,56533.25000000,56711.82000000,712.75401400,1615522499999,40543325.63934451,20929,266.91734000,15192666.28340162,0
1615522500000,56711.83000000,56772.44000000,56456.58000000,56625.56000000,680.21123500,1615523399999,38516743.20231244,19579,292.76630200,16581220.01739539,0
1615523400000,56623.92000000,56749.82000000,56542.38000000,56558.37000000,537.54132600,1615524299999,30450034.35436995,14654,224.45354900,12715707.62119637,0
1615524300000,56558.36000000,56797.73000000,56537.94000000,56696.17000000,439.36372400,1615525199999,24901233.81733244,11834,247.42658000,14021041.72015081,0
1615525200000,56696.18000000,56860.00000000,56653.00000000,56775.19000000,390.18595800,1615526099999,22152837.48070529,13065,180.74633100,10260911.07819572,0
1615526100000,56775.19000000,56799.85000000,56350.00000000,56734.48000000,752.46809800,1615526999999,42564626.95286992,22923,331.06827400,18724148.32374415,0
1615527000000,56734.47000000,57066.90000000,56726.13000000,56982.03000000,594.04092600,1615527899999,33814876.45706000,16953,314.51050300,17903589.14198641,0
1615527900000,56982.03000000,57269.87000000,56909.22000000,57164.51000000,547.17881000,1615528799999,31257189.82079087,16965,301.71512800,17236278.70512778,0
1615528800000,57168.24000000,57430.00000000,57154.84000000,57252.99000000,515.77276300,1615529699999,29547910.73920262,16248,284.79775600,16315627.52643159,0
1615529700000,57248.83000000,57275.00000000,57089.00000000,57226.00000000,452.01759400,1615530599999,25842986.91209310,16419,233.03838400,13323316.52156317,0
1615530600000,57226.00000000,57274.43000000,57028.21000000,57028.81000000,528.35569200,1615531499999,30194063.94044241,16778,254.29151300,14533302.85717539,0
1615531500000,57028.82000000,57148.63000000,56894.49000000,57061.52000000,561.65572900,1615532399999,32034114.76576109,19282,263.83315100,15048640.32230200,0
1615532400000,57061.52000000,57061.53000000,56661.00000000,56679.10000000,741.31496600,1615533299999,42090581.45334719,20538,341.32606600,19378132.97719620,0
1615533300000,56679.10000000,56850.51000000,56456.71000000,56753.25000000,1105.52369400,1615534199999,62633620.67164635,24429,609.51484300,34535690.09956243,0
1615534200000,56753.05000000,56900.00000000,56607.33000000,56750.01000000,435.75113000,1615535099999,24723347.48984983,15195,214.19234600,12153522.05957754,0
1615535100000,56750.01000000,56847.53000000,56524.77000000,56670.90000000,587.93288600,1615535999999,33325312.04048986,17538,275.11089800,15594562.11609432,0
1615536000000,56670.90000000,56685.48000000,56259.79000000,56597.23000000,957.27827800,1615536899999,54057804.66554378,27748,438.85398100,24787309.68345775,0
1615536900000,56590.75000000,56639.22000000,56325.81000000,56565.55000000,537.54043000,1615537799999,30370132.82025308,18472,269.90755000,15249047.14281310,0
1615537800000,56565.55000000,56846.00000000,56418.02000000,56600.01000000,666.97506800,1615538699999,37802264.65268138,24907,343.83424600,19491970.81424752,0
1615538700000,56600.01000000,57095.76000000,56500.66000000,56503.21000000,1002.50403000,1615539599999,56969106.90089359,27544,481.37628700,27363824.48523759,0
1615539600000,56506.71000000,56819.42000000,56355.01000000,56769.61000000,663.00602700,1615540499999,37544208.12325296,21725,289.44147900,16389859.81621721,0
1615540500000,56763.41000000,56775.61000000,56541.56000000,56674.20000000,461.07054800,1615541399999,26113901.59664212,15844,197.33600300,11177422.75870404,0
